doc_id,title,department,year,region,text
D061,"Document Title D061 (sales)",sales,2023,latin_america,"This is the body text of document D061 in department sales for region latin_america and year 2023."
D062,"Document Title D062 (finance)",finance,2025,asia_pacific,"This is the body text of document D062 in department finance for region asia_pacific and year 2025."
D063,"Document Title D063 (finance)",finance,2026,europe,"This is the body text of document D063 in department finance for region europe and year 2026."
D064,"Document Title D064 (hr)",hr,2025,north_america,"This is the body text of document D064 in department hr for region north_america and year 2025."
D065,"Document Title D065 (engineering)",engineering,2024,asia_pacific,"This is the body text of document D065 in department engineering for region asia_pacific and year 2024."
D066,"Document Title D066 (hr)",hr,2023,latin_america,"This is the body text of document D066 in department hr for region latin_america and year 2023."
D067,"Document Title D067 (legal)",legal,2021,latin_america,"This is the body text of document D067 in department legal for region latin_america and year 2021."
D068,"Document Title D068 (finance)",finance,2023,north_america,"This is the body text of document D068 in department finance for region north_america and year 2023."
D069,"Document Title D069 (hr)",hr,2021,latin_america,"This is the body text of document D069 in department hr for region latin_america and year 2021."
D070,"Document Title D070 (legal)",legal,2024,europe,"This is the body text of document D070 in department legal for region europe and year 2024."
D071,"Document Title D071 (legal)",legal,2026,north_america,"This is the body text of document D071 in department legal for region north_america and year 2026."
D072,"Document Title D072 (sales)",sales,2024,north_america,"This is the body text of document D072 in department sales for region north_america and year 2024."
D073,"Document Title D073 (marketing)",marketing,2024,north_america,"This is the body text of document D073 in department marketing for region north_america and year 2024."
D074,"Document Title D074 (legal)",legal,2025,asia_pacific,"This is the body text of document D074 in department legal for region asia_pacific and year 2025."
D075,"Document Title D075 (hr)",hr,2022,north_america,"This is the body text of document D075 in department hr for region north_america and year 2022."
D076,"Document Title D076 (hr)",hr,2020,north_america,"This is the body text of document D076 in department hr for region north_america and year 2020."
D077,"Document Title D077 (sales)",sales,2023,north_america,"This is the body text of document D077 in department sales for region north_america and year 2023."
D078,"Document Title D078 (engineering)",engineering,2021,north_america,"This is the body text of document D078 in department engineering for region north_america and year 2021."
D079,"Document Title D079 (legal)",legal,2024,europe,"This is the body text of document D079 in department legal for region europe and year 2024."
D080,"Document Title D080 (sales)",sales,2022,europe,"This is the body text of document D080 in department sales for region europe and year 2022."
D081,"Document Title D081 (finance)",finance,2020,latin_america,"This is the body text of document D081 in department finance for region latin_america and year 2020."
D082,"Document Title D082 (hr)",hr,2024,europe,"This is the body text of document D082 in department hr for region europe and year 2024."
D083,"Document Title D083 (sales)",sales,2022,asia_pacific,"This is the body text of document D083 in department sales for region asia_pacific and year 2022."
D084,"Document Title D084 (legal)",legal,2023,latin_america,"This is the body text of document D084 in department legal for region latin_america and year 2023."
D085,"Document Title D085 (finance)",finance,2025,asia_pacific,"This is the body text of document D085 in department finance for region asia_pacific and year 2025."
D086,"Document Title D086 (finance)",finance,2025,north_america,"This is the body text of document D086 in department finance for region north_america and year 2025."
D087,"Document Title D087 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D087 in department engineering for region asia_pacific and year 2021."
D088,"Document Title D088 (finance)",finance,2024,latin_america,"This is the body text of document D088 in department finance for region latin_america and year 2024."
D089,"Document Title D089 (engineering)",engineering,2026,north_america,"This is the body text of document D089 in department engineering for region north_america and year 2026."
D090,"Document Title D090 (sales)",sales,2020,europe,"This is the body text of document D090 in department sales for region europe and year 2020."
D091,"Document Title D091 (legal)",legal,2026,north_america,"This is the body text of document D091 in department legal for region north_america and year 2026."
D092,"Document Title D092 (engineering)",engineering,2023,europe,"This is the body text of document D092 in department engineering for region europe and year 2023."
D093,"Document Title D093 (sales)",sales,2023,north_america,"This is the body text of document D093 in department sales for region north_america and year 2023."
D094,"Document Title D094 (sales)",sales,2026,north_america,"This is the body text of document D094 in department sales for region north_america and year 2026."
D095,"Document Title D095 (finance)",finance,2021,asia_pacific,"This is the body text of document D095 in department finance for region asia_pacific and year 2021."
D096,"Document Title D096 (engineering)",engineering,2025,asia_pacific,"This is the body text of document D096 in department engineering for region asia_pacific and year 2025."
D097,"Document Title D097 (sales)",sales,2023,asia_pacific,"This is the body text of document D097 in department sales for region asia_pacific and year 2023."
D098,"Document Title D098 (finance)",finance,2024,latin_america,"This is the body text of document D098 in department finance for region latin_america and year 2024."
D099,"Document Title D099 (sales)",sales,2020,europe,"This is the body text of document D099 in department sales for region europe and year 2020."
D100,"Document Title D100 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D100 in department engineering for region asia_pacific and year 2020."
D101,"Document Title D101 (engineering)",engineering,2023,asia_pacific,"This is the body text of document D101 in department engineering for region asia_pacific and year 2023."
D102,"Document Title D102 (finance)",finance,2026,asia_pacific,"This is the body text of document D102 in department finance for region asia_pacific and year 2026."
D103,"Document Title D103 (hr)",hr,2026,europe,"This is the body text of document D103 in department hr for region europe and year 2026."
D104,"Document Title D104 (engineering)",engineering,2026,north_america,"This is the body text of document D104 in department engineering for region north_america and year 2026."
D105,"Document Title D105 (legal)",legal,2022,north_america,"This is the body text of document D105 in department legal for region north_america and year 2022."
D106,"Document Title D106 (hr)",hr,2022,north_america,"This is the body text of document D106 in department hr for region north_america and year 2022."
D107,"Document Title D107 (legal)",legal,2022,asia_pacific,"This is the body text of document D107 in department legal for region asia_pacific and year 2022."
D108,"Document Title D108 (marketing)",marketing,2026,north_america,"This is the body text of document D108 in department marketing for region north_america and year 2026."
D109,"Document Title D109 (finance)",finance,2021,europe,"This is the body text of document D109 in department finance for region europe and year 2021."
D110,"Document Title D110 (hr)",hr,2024,latin_america,"This is the body text of document D110 in department hr for region latin_america and year 2024."
D111,"Document Title D111 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D111 in department engineering for region asia_pacific and year 2021."
D112,"Document Title D112 (sales)",sales,2023,latin_america,"This is the body text of document D112 in department sales for region latin_america and year 2023."
D113,"Document Title D113 (engineering)",engineering,2026,north_america,"This is the body text of document D113 in department engineering for region north_america and year 2026."
D114,"Document Title D114 (hr)",hr,2021,asia_pacific,"This is the body text of document D114 in department hr for region asia_pacific and year 2021."
D115,"Document Title D115 (marketing)",marketing,2025,north_america,"This is the body text of document D115 in department marketing for region north_america and year 2025."
D116,"Document Title D116 (finance)",finance,2020,europe,"This is the body text of document D116 in department finance for region europe and year 2020."
D117,"Document Title D117 (engineering)",engineering,2026,latin_america,"This is the body text of document D117 in department engineering for region latin_america and year 2026."
D118,"Document Title D118 (marketing)",marketing,2023,latin_america,"This is the body text of document D118 in department marketing for region latin_america and year 2023."
D119,"Document Title D119 (legal)",legal,2022,north_america,"This is the body text of document D119 in department legal for region north_america and year 2022."
D120,"Document Title D120 (hr)",hr,2022,north_america,"This is the body text of document D120 in department hr for region north_america and year 2022."
D121,"Document Title D121 (sales)",sales,2024,europe,"This is the body text of document D121 in department sales for region europe and year 2024."
D122,"Document Title D122 (hr)",hr,2022,asia_pacific,"This is the body text of document D122 in department hr for region asia_pacific and year 2022."
D123,"Document Title D123 (finance)",finance,2022,europe,"This is the body text of document D123 in department finance for region europe and year 2022."
D124,"Document Title D124 (legal)",legal,2022,europe,"This is the body text of document D124 in department legal for region europe and year 2022."
D125,"Document Title D125 (sales)",sales,2026,europe,"This is the body text of document D125 in department sales for region europe and year 2026."
D126,"Document Title D126 (engineering)",engineering,2022,north_america,"This is the body text of document D126 in department engineering for region north_america and year 2022."
D127,"Document Title D127 (legal)",legal,2023,asia_pacific,"This is the body text of document D127 in department legal for region asia_pacific and year 2023."
D128,"Document Title D128 (hr)",hr,2025,asia_pacific,"This is the body text of document D128 in department hr for region asia_pacific and year 2025."
D129,"Document Title D129 (marketing)",marketing,2022,asia_pacific,"This is the body text of document D129 in department marketing for region asia_pacific and year 2022."
D130,"Document Title D130 (finance)",finance,2024,north_america,"This is the body text of document D130 in department finance for region north_america and year 2024."
D131,"Document Title D131 (finance)",finance,2020,latin_america,"This is the body text of document D131 in department finance for region latin_america and year 2020."
D132,"Document Title D132 (marketing)",marketing,2025,latin_america,"This is the body text of document D132 in department marketing for region latin_america and year 2025."
D133,"Document Title D133 (marketing)",marketing,2021,north_america,"This is the body text of document D133 in department marketing for region north_america and year 2021."
D134,"Document Title D134 (sales)",sales,2022,europe,"This is the body text of document D134 in department sales for region europe and year 2022."
D135,"Document Title D135 (engineering)",engineering,2023,latin_america,"This is the body text of document D135 in department engineering for region latin_america and year 2023."
D136,"Document Title D136 (hr)",hr,2022,north_america,"This is the body text of document D136 in department hr for region north_america and year 2022."
D137,"Document Title D137 (legal)",legal,2022,latin_america,"This is the body text of document D137 in department legal for region latin_america and year 2022."
D138,"Document Title D138 (marketing)",marketing,2023,north_america,"This is the body text of document D138 in department marketing for region north_america and year 2023."
D139,"Document Title D139 (legal)",legal,2024,europe,"This is the body text of document D139 in department legal for region europe and year 2024."
D140,"Document Title D140 (sales)",sales,2025,europe,"This is the body text of document D140 in department sales for region europe and year 2025."
D141,"Document Title D141 (hr)",hr,2025,latin_america,"This is the body text of document D141 in department hr for region latin_america and year 2025."
D142,"Document Title D142 (sales)",sales,2020,europe,"This is the body text of document D142 in department sales for region europe and year 2020."
D143,"Document Title D143 (hr)",hr,2026,latin_america,"This is the body text of document D143 in department hr for region latin_america and year 2026."
D144,"Document Title D144 (finance)",finance,2023,north_america,"This is the body text of document D144 in department finance for region north_america and year 2023."
D145,"Document Title D145 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D145 in department marketing for region asia_pacific and year 2020."
D146,"Document Title D146 (engineering)",engineering,2021,europe,"This is the body text of document D146 in department engineering for region europe and year 2021."
D147,"Document Title D147 (hr)",hr,2022,north_america,"This is the body text of document D147 in department hr for region north_america and year 2022."
D148,"Document Title D148 (engineering)",engineering,2024,latin_america,"This is the body text of document D148 in department engineering for region latin_america and year 2024."
D149,"Document Title D149 (hr)",hr,2021,asia_pacific,"This is the body text of document D149 in department hr for region asia_pacific and year 2021."
D150,"Document Title D150 (marketing)",marketing,2024,europe,"This is the body text of document D150 in department marketing for region europe and year 2024."
D151,"Document Title D151 (sales)",sales,2025,latin_america,"This is the body text of document D151 in department sales for region latin_america and year 2025."
D152,"Document Title D152 (engineering)",engineering,2022,north_america,"This is the body text of document D152 in department engineering for region north_america and year 2022."
D153,"Document Title D153 (sales)",sales,2021,asia_pacific,"This is the body text of document D153 in department sales for region asia_pacific and year 2021."
D154,"Document Title D154 (sales)",sales,2021,north_america,"This is the body text of document D154 in department sales for region north_america and year 2021."
D155,"Document Title D155 (finance)",finance,2024,asia_pacific,"This is the body text of document D155 in department finance for region asia_pacific and year 2024."
D156,"Document Title D156 (marketing)",marketing,2024,asia_pacific,"This is the body text of document D156 in department marketing for region asia_pacific and year 2024."
D157,"Document Title D157 (marketing)",marketing,2020,north_america,"This is the body text of document D157 in department marketing for region north_america and year 2020."
D158,"Document Title D158 (marketing)",marketing,2021,europe,"This is the body text of document D158 in department marketing for region europe and year 2021."
D159,"Document Title D159 (finance)",finance,2020,asia_pacific,"This is the body text of document D159 in department finance for region asia_pacific and year 2020."
D160,"Document Title D160 (finance)",finance,2022,europe,"This is the body text of document D160 in department finance for region europe and year 2022."
D161,"Document Title D161 (sales)",sales,2022,europe,"This is the body text of document D161 in department sales for region europe and year 2022."
D162,"Document Title D162 (sales)",sales,2025,latin_america,"This is the body text of document D162 in department sales for region latin_america and year 2025."
D163,"Document Title D163 (engineering)",engineering,2024,asia_pacific,"This is the body text of document D163 in department engineering for region asia_pacific and year 2024."
D164,"Document Title D164 (engineering)",engineering,2020,north_america,"This is the body text of document D164 in department engineering for region north_america and year 2020."
D165,"Document Title D165 (sales)",sales,2024,latin_america,"This is the body text of document D165 in department sales for region latin_america and year 2024."
D166,"Document Title D166 (legal)",legal,2026,asia_pacific,"This is the body text of document D166 in department legal for region asia_pacific and year 2026."
D167,"Document Title D167 (marketing)",marketing,2025,north_america,"This is the body text of document D167 in department marketing for region north_america and year 2025."
D168,"Document Title D168 (sales)",sales,2020,latin_america,"This is the body text of document D168 in department sales for region latin_america and year 2020."
D169,"Document Title D169 (legal)",legal,2023,latin_america,"This is the body text of document D169 in department legal for region latin_america and year 2023."
D170,"Document Title D170 (finance)",finance,2023,europe,"This is the body text of document D170 in department finance for region europe and year 2023."
D171,"Document Title D171 (legal)",legal,2025,latin_america,"This is the body text of document D171 in department legal for region latin_america and year 2025."
D172,"Document Title D172 (hr)",hr,2021,asia_pacific,"This is the body text of document D172 in department hr for region asia_pacific and year 2021."
D173,"Document Title D173 (finance)",finance,2021,europe,"This is the body text of document D173 in department finance for region europe and year 2021."
D174,"Document Title D174 (engineering)",engineering,2020,europe,"This is the body text of document D174 in department engineering for region europe and year 2020."
D175,"Document Title D175 (finance)",finance,2025,north_america,"This is the body text of document D175 in department finance for region north_america and year 2025."
D176,"Document Title D176 (marketing)",marketing,2024,asia_pacific,"This is the body text of document D176 in department marketing for region asia_pacific and year 2024."
D177,"Document Title D177 (engineering)",engineering,2025,latin_america,"This is the body text of document D177 in department engineering for region latin_america and year 2025."
D178,"Document Title D178 (engineering)",engineering,2022,asia_pacific,"This is the body text of document D178 in department engineering for region asia_pacific and year 2022."
D179,"Document Title D179 (marketing)",marketing,2024,asia_pacific,"This is the body text of document D179 in department marketing for region asia_pacific and year 2024."
D180,"Document Title D180 (hr)",hr,2022,asia_pacific,"This is the body text of document D180 in department hr for region asia_pacific and year 2022."
D181,"Document Title D181 (marketing)",marketing,2026,north_america,"This is the body text of document D181 in department marketing for region north_america and year 2026."
D182,"Document Title D182 (engineering)",engineering,2021,europe,"This is the body text of document D182 in department engineering for region europe and year 2021."
D183,"Document Title D183 (marketing)",marketing,2026,asia_pacific,"This is the body text of document D183 in department marketing for region asia_pacific and year 2026."
D184,"Document Title D184 (marketing)",marketing,2021,europe,"This is the body text of document D184 in department marketing for region europe and year 2021."
D185,"Document Title D185 (marketing)",marketing,2024,asia_pacific,"This is the body text of document D185 in department marketing for region asia_pacific and year 2024."
D186,"Document Title D186 (finance)",finance,2026,asia_pacific,"This is the body text of document D186 in department finance for region asia_pacific and year 2026."
D187,"Document Title D187 (finance)",finance,2025,north_america,"This is the body text of document D187 in department finance for region north_america and year 2025."
D188,"Document Title D188 (engineering)",engineering,2021,latin_america,"This is the body text of document D188 in department engineering for region latin_america and year 2021."
D189,"Document Title D189 (hr)",hr,2024,asia_pacific,"This is the body text of document D189 in department hr for region asia_pacific and year 2024."
D190,"Document Title D190 (hr)",hr,2024,north_america,"This is the body text of document D190 in department hr for region north_america and year 2024."
D191,"Document Title D191 (sales)",sales,2021,europe,"This is the body text of document D191 in department sales for region europe and year 2021."
D192,"Document Title D192 (hr)",hr,2024,north_america,"This is the body text of document D192 in department hr for region north_america and year 2024."
D193,"Document Title D193 (finance)",finance,2024,europe,"This is the body text of document D193 in department finance for region europe and year 2024."
D194,"Document Title D194 (legal)",legal,2023,europe,"This is the body text of document D194 in department legal for region europe and year 2023."
D195,"Document Title D195 (engineering)",engineering,2023,asia_pacific,"This is the body text of document D195 in department engineering for region asia_pacific and year 2023."
D196,"Document Title D196 (finance)",finance,2020,north_america,"This is the body text of document D196 in department finance for region north_america and year 2020."
D197,"Document Title D197 (marketing)",marketing,2022,asia_pacific,"This is the body text of document D197 in department marketing for region asia_pacific and year 2022."
D198,"Document Title D198 (legal)",legal,2024,north_america,"This is the body text of document D198 in department legal for region north_america and year 2024."
D199,"Document Title D199 (finance)",finance,2022,europe,"This is the body text of document D199 in department finance for region europe and year 2022."
D200,"Document Title D200 (sales)",sales,2020,north_america,"This is the body text of document D200 in department sales for region north_america and year 2020."
D201,"Document Title D201 (legal)",legal,2021,europe,"This is the body text of document D201 in department legal for region europe and year 2021."
D202,"Document Title D202 (hr)",hr,2020,north_america,"This is the body text of document D202 in department hr for region north_america and year 2020."
D203,"Document Title D203 (engineering)",engineering,2026,europe,"This is the body text of document D203 in department engineering for region europe and year 2026."
D204,"Document Title D204 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D204 in department engineering for region asia_pacific and year 2021."
D205,"Document Title D205 (hr)",hr,2020,north_america,"This is the body text of document D205 in department hr for region north_america and year 2020."
D206,"Document Title D206 (sales)",sales,2020,north_america,"This is the body text of document D206 in department sales for region north_america and year 2020."
D207,"Document Title D207 (marketing)",marketing,2021,latin_america,"This is the body text of document D207 in department marketing for region latin_america and year 2021."
D208,"Document Title D208 (hr)",hr,2022,latin_america,"This is the body text of document D208 in department hr for region latin_america and year 2022."
D209,"Document Title D209 (hr)",hr,2022,europe,"This is the body text of document D209 in department hr for region europe and year 2022."
D210,"Document Title D210 (marketing)",marketing,2026,north_america,"This is the body text of document D210 in department marketing for region north_america and year 2026."
D211,"Document Title D211 (engineering)",engineering,2026,latin_america,"This is the body text of document D211 in department engineering for region latin_america and year 2026."
D212,"Document Title D212 (marketing)",marketing,2022,asia_pacific,"This is the body text of document D212 in department marketing for region asia_pacific and year 2022."
D213,"Document Title D213 (hr)",hr,2023,europe,"This is the body text of document D213 in department hr for region europe and year 2023."
D214,"Document Title D214 (sales)",sales,2022,asia_pacific,"This is the body text of document D214 in department sales for region asia_pacific and year 2022."
D215,"Document Title D215 (finance)",finance,2025,asia_pacific,"This is the body text of document D215 in department finance for region asia_pacific and year 2025."
D216,"Document Title D216 (hr)",hr,2026,north_america,"This is the body text of document D216 in department hr for region north_america and year 2026."
D217,"Document Title D217 (legal)",legal,2023,north_america,"This is the body text of document D217 in department legal for region north_america and year 2023."
D218,"Document Title D218 (sales)",sales,2021,latin_america,"This is the body text of document D218 in department sales for region latin_america and year 2021."
D219,"Document Title D219 (legal)",legal,2024,asia_pacific,"This is the body text of document D219 in department legal for region asia_pacific and year 2024."
D220,"Document Title D220 (engineering)",engineering,2022,europe,"This is the body text of document D220 in department engineering for region europe and year 2022."
D221,"Document Title D221 (legal)",legal,2020,asia_pacific,"This is the body text of document D221 in department legal for region asia_pacific and year 2020."
D222,"Document Title D222 (hr)",hr,2026,europe,"This is the body text of document D222 in department hr for region europe and year 2026."
D223,"Document Title D223 (finance)",finance,2024,asia_pacific,"This is the body text of document D223 in department finance for region asia_pacific and year 2024."
D224,"Document Title D224 (hr)",hr,2024,latin_america,"This is the body text of document D224 in department hr for region latin_america and year 2024."
D225,"Document Title D225 (hr)",hr,2020,latin_america,"This is the body text of document D225 in department hr for region latin_america and year 2020."
D226,"Document Title D226 (engineering)",engineering,2024,asia_pacific,"This is the body text of document D226 in department engineering for region asia_pacific and year 2024."
D227,"Document Title D227 (marketing)",marketing,2022,north_america,"This is the body text of document D227 in department marketing for region north_america and year 2022."
D228,"Document Title D228 (legal)",legal,2023,europe,"This is the body text of document D228 in department legal for region europe and year 2023."
D229,"Document Title D229 (hr)",hr,2023,asia_pacific,"This is the body text of document D229 in department hr for region asia_pacific and year 2023."
D230,"Document Title D230 (legal)",legal,2020,north_america,"This is the body text of document D230 in department legal for region north_america and year 2020."
D231,"Document Title D231 (marketing)",marketing,2020,north_america,"This is the body text of document D231 in department marketing for region north_america and year 2020."
D232,"Document Title D232 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D232 in department engineering for region asia_pacific and year 2021."
D233,"Document Title D233 (engineering)",engineering,2026,north_america,"This is the body text of document D233 in department engineering for region north_america and year 2026."
D234,"Document Title D234 (finance)",finance,2026,latin_america,"This is the body text of document D234 in department finance for region latin_america and year 2026."
D235,"Document Title D235 (finance)",finance,2024,latin_america,"This is the body text of document D235 in department finance for region latin_america and year 2024."
D236,"Document Title D236 (marketing)",marketing,2025,asia_pacific,"This is the body text of document D236 in department marketing for region asia_pacific and year 2025."
D237,"Document Title D237 (finance)",finance,2024,north_america,"This is the body text of document D237 in department finance for region north_america and year 2024."
D238,"Document Title D238 (hr)",hr,2022,latin_america,"This is the body text of document D238 in department hr for region latin_america and year 2022."
D239,"Document Title D239 (legal)",legal,2025,europe,"This is the body text of document D239 in department legal for region europe and year 2025."
D240,"Document Title D240 (engineering)",engineering,2023,latin_america,"This is the body text of document D240 in department engineering for region latin_america and year 2023."
D241,"Document Title D241 (sales)",sales,2026,europe,"This is the body text of document D241 in department sales for region europe and year 2026."
D242,"Document Title D242 (engineering)",engineering,2024,asia_pacific,"This is the body text of document D242 in department engineering for region asia_pacific and year 2024."
D243,"Document Title D243 (engineering)",engineering,2021,latin_america,"This is the body text of document D243 in department engineering for region latin_america and year 2021."
D244,"Document Title D244 (hr)",hr,2026,north_america,"This is the body text of document D244 in department hr for region north_america and year 2026."
D245,"Document Title D245 (finance)",finance,2023,north_america,"This is the body text of document D245 in department finance for region north_america and year 2023."
D246,"Document Title D246 (hr)",hr,2020,latin_america,"This is the body text of document D246 in department hr for region latin_america and year 2020."
D247,"Document Title D247 (legal)",legal,2022,latin_america,"This is the body text of document D247 in department legal for region latin_america and year 2022."
D248,"Document Title D248 (marketing)",marketing,2021,latin_america,"This is the body text of document D248 in department marketing for region latin_america and year 2021."
D249,"Document Title D249 (sales)",sales,2021,north_america,"This is the body text of document D249 in department sales for region north_america and year 2021."
D250,"Document Title D250 (marketing)",marketing,2020,north_america,"This is the body text of document D250 in department marketing for region north_america and year 2020."
D251,"Document Title D251 (legal)",legal,2020,europe,"This is the body text of document D251 in department legal for region europe and year 2020."
D252,"Document Title D252 (engineering)",engineering,2020,europe,"This is the body text of document D252 in department engineering for region europe and year 2020."
